movies_id,id,year,exclude,film,lead studio,rotten tomatoes,audience score,story,genre,number of theatres in opening weekend us,box office average per cinema,domestic gross,foreign gross,worldwide gross,budget,profit,proftitability,opening weekend,oscar,bafta,source,column
movies-0424,425,200,,madagascar: escape 2 africa,paramount,64.0,73,journey and return,animation,4056.0,0.001559,0.00017693,0.00042389,0.0004623,0.00015,0.0003123,3.08,6.311e-05,,,,
movies-0425,426,200,,made of honor,sony,13.0,61,love,comedy,2729.0,0.005407,4.6009999999999995e-05,5.995e-05,0.000106,4e-05,6.6e-05,2.65,1.476e-05,,,,
movies-0426,427,200,,mamma mia!,universal,53.0,76,love,comedy,2976.0,0.009325,0.00014376,0.00046571,0.0005722,6.6e-05,0.0005061999999999999,8.67,2.775e-05,,,,
movies-0427,428,200,,marley and me,fox,63.0,77,love,comedy,3480.0,0.010448,0.00010651000000000001,9.956e-05,0.0001118,5.5e-05,5.68e-05,2.03,3.636e-05,,,,
movies-0428,429,200,,max payne,fox,16.0,36,revenge,action,3376.0,0.005225,4.0659999999999994e-05,4.4729999999999994e-05,8.42e-05,3.5e-05,4.92e-05,2.41,1.76e-05,,,,
movies-0429,430,200,,meet dave,fox,19.0,42,fish out of water,adventure,3011.0,0.001744,1.18e-05,3.885e-05,5.05e-05,6e-05,-9.5e-06,0.84,5.25e-06,,,,
movies-0430,431,200,,meet the spartans,independent,2.0,31,comedy,comedy,2605.0,0.007104,3.823e-05,4.641e-05,8.46e-05,3e-05,5.46e-05,2.82,1.851e-05,,,,
movies-0431,432,200,,milk,universal,94.0,88,quest,biography,36.0,0.040385,3.184e-05,1.832e-05,5.0159999999999994e-05,2e-05,3.016e-05,2.51,1.5e-06,"best actor, original screenplay",,http://www.the-numbers.com/movies/2008/hmilk.php,
movies-0432,433,200,True,miracle at st. anna,,34.0,68,quest,action,1185.0,0.002935,7.92e-06,1.2e-06,9.11e-06,4.5e-05,-3.5890000000000004e-05,0.2,3.5e-06,,,http://www.the-numbers.com/movies/2008/msana.php,
movies-0433,434,200,,mirrors,independent,14.0,49,monster force,horror,2664.0,0.00419,3.069e-05,4.68e-05,7.340000000000001e-05,3.5e-05,3.84e-05,2.1,1.12e-05,,,,
movies-0434,435,200,,miss pettigrew lives for a day,independent,78.0,70,love,comedy,535.0,0.004655,1.231e-05,2.8599999999999997e-06,1.517e-05,6e-05,-4.4829999999999996e-05,0.25,2.4900000000000003e-06,,,,
